@relation 'features-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R22,25'

@attribute Gender {Male,Female,Unknown,Combo}
@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute WordCount numeric
@attribute FleschReading numeric
@attribute OT numeric
@attribute NT numeric
@attribute BoM numeric
@attribute DC numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute StoryNames numeric
@attribute TalkingSpeed numeric
@attribute AuthorityMentions numeric
@attribute WeToYouRatio numeric
@attribute WordQuantity numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInItalics numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute NameSearchResults numeric
@attribute MonthGiven numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
Female,0.352941,0.37037,0.067198,0.640816,0,0,0,0.136364,0,0,0.126582,0.184218,0.057377,0.004968,0.118508,0.058704,0.021408,0,0.003158,0.000111,0.272727,1,n
Male,0.470588,0.518519,0.205717,0.280612,0.019231,0.131148,0.033708,0.022727,0.375,0.141844,0.265823,0.274695,0,0.05793,0.264088,0.089069,0.263996,0,0.01738,0.000111,0.545455,0.984,n
Male,0.411765,0.592593,0.181141,0.360204,0,0.016393,0.022472,0.068182,0,0.042553,0.063291,0.307719,0,0.010127,0.214365,0.309717,0.036803,0,0.110838,0.000111,0.818182,0.888,n
Male,0.470588,0.333333,0.282997,0.40102,0.019231,0.114754,0.314607,0.136364,0.1875,0.460993,0.063291,0.247906,0.057377,0.022842,0.316298,0.139676,0.088129,0,0.084506,0.000019,0.090909,0.92,n
Male,0.529412,0.703704,0.246563,0.560204,0,0.016393,0.078652,0.068182,0,0.056738,0.113924,0.307878,0.07377,0.055165,0.264917,0.172065,0.026974,0,0.126541,0.003,0.818182,0.872,n
Female,0.588235,0.444444,0.159888,0.6,0,0,0,0.068182,0,0.007092,0.151899,0.030304,0.303279,0.010217,0.197514,0.139676,0.030268,0.002066,0.352485,0.003,0.363636,0.648,n
Female,0.617647,0.592593,0.168653,0.561224,0.057692,0.016393,0.011236,0,0,0.035461,0.075949,0.240583,0.163934,0.014072,0.227348,0.082996,0.120285,0.005918,0.338916,0.000048,0.090909,0.664,n
Male,0.470588,0.444444,0.36486,0.40102,0,0.032787,0.022472,0.022727,0.0625,0.070922,0.177215,0.363499,0.172131,0.010089,0.412431,0.309717,0.609906,0,0.166943,0.000048,0.727273,0.832,n
Male,0.441176,0.407407,0.350137,0.240816,0.019231,0.04918,0.089888,0.068182,0.0625,0.148936,0.265823,0.348064,0.155738,0.083338,0.417127,0.206478,0.335711,0,0.12628,0.000048,0.909091,0.872,n
Male,0.5,0.481481,0.25401,0.360204,0.019231,0.098361,0.078652,0.136364,0,0.113475,0.177215,0.335856,0.155738,0.029729,0.33232,0.190283,0.414279,0,0.146056,0.000048,0.363636,0.856,n
Male,0.382353,0.518519,0.181198,0.240816,0.019231,0.016393,0.033708,0.159091,0,0.049645,0.126582,0.2105,0.270492,0.007062,0.195856,0.07085,0.290838,0,0.29882,0.000048,0.090909,0.704,n
Male,0.529412,0.555556,0.324588,0.20102,0.134615,0.409836,0.022472,0,0,0.269504,0.113924,0.062453,0.02459,0.004949,0.259392,0.137652,0.146812,0,0.304657,0.000022,0.454545,0.696,n
Male,0.588235,0.814815,0.262718,0.20102,0.057692,0.278689,0.022472,0.022727,0.0625,0.283688,0.088608,0.050376,0.032787,0.002576,0.224586,0.07085,0.294583,0,0.345973,0.000056,0.181818,0.656,n
Female,0.411765,0.592593,0.037408,0.521429,0.019231,0,0,0.022727,0,0.021277,0.050633,0.30029,0,0.003587,0.070718,0.080972,0.317316,0,0.016727,0.000063,0.636364,0.984,n
Female,0.588235,0.555556,0.163898,0.240816,0.038462,0.131148,0,0.022727,0,0.070922,0.139241,0.274558,0.02459,0.014639,0.214088,0.089069,0.134764,0,0.075162,0.000063,0.272727,0.928,n
Male,0.411765,0.259259,0.230637,0.560204,0,0.04918,0.078652,0.136364,0,0.078014,0.139241,0.32602,0.04918,0.020751,0.235635,0.263158,0.217861,0,0.01052,0.000063,0.363636,0.992,n
