Gender,Polarity,Subjectivity,WordCount,FleschReading,OT,NT,BoM,DC,PoGP,AllScriptureCount,StoryNames,TalkingSpeed,AuthorityMentions,WeToYouRatio,WordQuantity,FirstPersonPronoun,PercentInItalics,PercentInQuotes,DaysElapsed,NameSearchResults,Pageviews,MonthGiven,YearGiven,Popular
Female,0.16,0.51,2143.0,5.61,0.0,0.0,1.0,1.0,0.0,1.0,7.0,2.3853234155723886,2.0,13.729,901.0,39.0,0.016332244517032198,0.0,4493,22200.0,461.0,8.0,2005.0,n
Female,0.19,0.5,4665.0,4.83,0.0,4.0,1.0,1.0,0.0,5.0,20.0,2.29040540257455,19.0,88.021,1361.0,93.0,0.3033226152197213,0.0017148981779206859,3942,22200.0,6168.0,2.0,2007.0,y
Female,0.18,0.56,6094.0,3.26,5.0,9.0,6.0,3.0,16.0,40.0,7.0,2.814236384773014,18.0,5.399,1557.0,77.0,0.08467344929438793,0.0,5015,22200.0,1841.0,3.0,2004.0,n
Female,0.16,0.49,4265.0,5.61,1.0,0.0,1.0,8.0,2.0,10.0,15.0,2.911527784098667,16.0,27.557,1254.0,88.0,0.15123094958968347,0.00492379835873388,358,22200.0,2458.0,12.0,2016.0,y
Male,0.19,0.54,5916.0,6.78,0.0,0.0,0.0,6.0,0.0,3.0,13.0,0.5916,4.0,77.824,1498.0,109.0,0.050033806626098715,0.0,15277,22200.0,3796.0,2.0,1976.0,n
Male,0.12,0.46,4270.0,5.21,0.0,1.0,0.0,0.0,0.0,2.0,7.0,0.427,10.0,57.075,1090.0,102.0,0.029508196721311476,0.0,16318,22200.0,599.0,3.0,1973.0,n
Male,0.13,0.53,4262.0,4.43,1.0,14.0,5.0,1.0,8.0,35.0,16.0,2.1349796019780873,2.0,248.067,1312.0,40.0,0.162599718442046,0.0,3025,22200.0,691.0,8.0,2009.0,n
Male,0.15,0.48,5235.0,5.6,1.0,2.0,0.0,1.0,0.0,4.0,11.0,0.5235,14.0,158.081,1300.0,160.0,0.08576886341929321,0.0,14929,22200.0,1340.0,1.0,1977.0,n
Male,0.15,0.49,5740.0,3.65,1.0,11.0,9.0,6.0,5.0,40.0,4.0,2.5979057439967557,7.0,31.61,1404.0,155.0,0.05191637630662021,0.0,5414,22200.0,4835.0,2.0,2003.0,y
Male,0.17,0.48,3432.0,3.65,0.0,5.0,27.0,0.0,0.0,34.0,4.0,2.137447684846874,7.0,23.347,1008.0,39.0,0.1561771561771562,0.0,3970,22200.0,3315.0,1.0,2007.0,y
Male,0.14,0.46,4664.0,6.0,0.0,0.0,3.0,2.0,0.0,7.0,12.0,0.4664,9.0,9.184,1300.0,42.0,0.11170668953687822,0.0,13814,22200.0,4449.0,2.0,1980.0,n
Male,0.13,0.43,2569.0,5.6,5.0,0.0,0.0,1.0,0.0,5.0,10.0,0.2569,1.0,64.692,859.0,50.0,0.04281821720513818,0.0,11719,22200.0,153.0,10.0,1985.0,n
Male,0.13,0.43,5283.0,7.57,0.0,0.0,0.0,1.0,0.0,12.0,6.0,0.5283,11.0,39.273,1515.0,55.0,0.030285822449365892,0.0,9787,22200.0,540.0,2.0,1991.0,n
Male,0.09,0.51,6217.0,6.78,2.0,1.0,4.0,0.0,0.0,10.0,6.0,0.6217,4.0,40.761,1447.0,100.0,0.039247225349847197,0.0,15613,22200.0,6184.0,3.0,1975.0,n
Male,0.1,0.43,4956.0,5.61,1.0,1.0,7.0,0.0,0.0,10.0,33.0,0.4956,50.0,16.568,1558.0,68.0,0.12227602905569007,0.0,8128,22200.0,945.0,8.0,1995.0,n
Male,0.12,0.51,4356.0,3.65,2.0,7.0,15.0,1.0,0.0,26.0,8.0,1.9933919696872628,10.0,15.75,1224.0,69.0,0.0073461891643709825,0.0,2215,22200.0,992.0,11.0,2011.0,n
Male,0.17,0.47,4609.0,6.0,0.0,0.0,1.0,0.0,1.0,7.0,17.0,3.307869413439897,11.0,252.083,1553.0,54.0,0.09069212410501193,0.0,4257,22200.0,1220.0,4.0,2006.0,n
Male,0.19,0.44,3732.0,7.18,0.0,2.0,2.0,3.0,0.0,4.0,9.0,2.802003748017875,18.0,36.364,1158.0,60.0,0.10342979635584137,0.0034833869239013935,4677,22200.0,279.0,2.0,2005.0,n
Male,0.14,0.5,3590.0,3.66,0.0,8.0,8.0,5.0,0.0,19.0,8.0,1.8599879800219676,6.0,147.846,1047.0,78.0,0.032590529247910865,0.02757660167130919,2332,22200.0,174280.0,7.0,2011.0,y
Male,0.12,0.48,2284.0,3.26,4.0,2.0,2.0,0.0,0.0,8.0,10.0,2.595454545,3.0,10.051,831.0,22.0,0.066112084,0.053415061,216,22200.0,562.0,4,2017,y
Male,0.14,0.41,6591.0,7.18,1.0,6.0,3.0,12.0,0.0,12.0,40.0,3.911195121024914,10.0,245.0,1835.0,67.0,0.152177211348809,0.0,6623,22200.0,1605.0,10.0,1999.0,n
